,1,2,3,4,5,6,7,8,9,10
20100104,-0.003827352,-0.000846153,0.002036085,0.001272949,-0.000210954,0.000737334,-0.001572913,0.002159015,0.000359573,-0.000107584
20100105,-0.006562868,-0.003043981,0.000925165,0.000767448,-0.001930166,-0.003230887,-0.00057325,0.004590479,0.003419422,0.00563864
20100106,-0.004840507,-0.005532955,0.001591236,-0.000213071,-0.003729521,-0.001529048,-0.002330296,0.005290574,0.001205278,0.01008831
20100107,-0.004566973,-0.007165235,0.002072383,0.001330988,-0.002831512,-0.001680904,-0.003742117,0.005524735,-0.001180532,0.012239168
20100108,-0.005433164,-0.010615756,0.00155516,0.004011114,-0.00383078,-0.003528431,0.001213196,0.006638578,-0.000287176,0.010277259
20100111,-0.007332733,-0.008931608,0.00208676,0.006380788,-0.002242291,-0.002448013,0.004212038,0.00725866,-0.001129906,0.002146305
20100112,-0.010471943,-0.009435984,0.002200894,0.006139399,-0.00186806,-0.002592802,0.004827261,0.00709303,0.000860388,0.003247816
20100113,-0.010777991,-0.006865973,0.002501942,0.00463976,-0.001531053,-0.005733486,0.003889396,0.010268811,0.00044423,0.003164363
20100114,-0.012010627,-0.005667864,0.004942023,0.006056232,-0.001928928,-0.004168582,0.003229168,0.009709188,-0.000607426,0.000446816
20100115,-0.014089895,-0.007500402,0.002532314,0.006244461,-0.00111876,-0.001787213,0.00488364,0.010235647,-0.000436042,0.001036249
20100118,-0.018218973,-0.010092585,-0.001749541,0.007505425,-0.001825748,-0.000607183,0.006984293,0.011715236,0.001522301,0.004766775
20100119,-0.019776766,-0.013162147,-0.000649277,0.005118552,-0.000760411,0.001265509,0.005577169,0.01341588,0.002580802,0.006390689
20100120,-0.024606694,-0.012792009,0.001769758,0.003931734,0.001586117,0.002945228,0.007842547,0.017200347,-0.000289251,0.002412222
20100121,-0.027339303,-0.011588227,0.000613744,0.006376977,0.002514907,0.002788964,0.007886691,0.018726509,0.000264056,-0.000244317
20100122,-0.030466729,-0.010120622,-0.002081063,0.006101222,0.004278206,0.003049062,0.011572594,0.021738678,0.001534681,-0.005606029
20100125,-0.031833514,-0.008026839,-0.001994629,0.006384353,0.003316985,0.005163761,0.009837807,0.021230933,0.001434459,-0.005513316
20100126,-0.028886523,-0.006200607,-0.000216723,0.009742886,0.00263355,0.004291676,0.010688859,0.020516828,-0.001800521,-0.010769424
20100127,-0.025802818,-0.005697867,0.000767826,0.008971947,0.002420427,0.003221833,0.007784364,0.019543759,-0.002012576,-0.009196896
20100128,-0.02696218,-0.005767039,0.001986748,0.005050645,0.002779462,0.001444018,0.006111393,0.019176868,-0.000967738,-0.002852176
20100129,-0.029645506,-0.000494264,0.00209113,0.004842894,0.004823234,0.000282169,0.005545377,0.016376972,0.000512727,-0.004334734
20100201,-0.03769971,0.001655109,0.004779292,0.008822955,0.009688836,0.006230232,0.005286139,0.015515534,-0.004053893,-0.010224496
20100202,-0.036468738,0.000464875,0.005727934,0.009541971,0.009278996,0.003818475,0.008509098,0.016606323,-0.004117621,-0.013361314
20100203,-0.036416077,-0.000618038,0.006732176,0.010829134,0.009928375,0.006394492,0.006721852,0.01927108,-0.006069866,-0.01677313
20100204,-0.038682506,-0.001308155,0.006839195,0.010739741,0.014029395,0.008863303,0.008429846,0.01932004,-0.007058644,-0.021172215
20100205,-0.037412494,0.000517319,0.00641898,0.009735844,0.015377169,0.008539441,0.006836424,0.019520648,-0.006342268,-0.023191063
20100208,-0.043784958,-0.001531454,0.006804918,0.010197682,0.01490711,0.009139441,0.009998357,0.020938983,-0.004963891,-0.021706186
20100209,-0.047803668,-0.002522685,0.005843847,0.010658068,0.016576991,0.010890521,0.012305041,0.019800532,-0.004018597,-0.02173005
20100210,-0.048841259,-0.003325027,0.003374925,0.010228428,0.016442231,0.011598878,0.012350728,0.021105505,-0.002393152,-0.020541257
20100211,-0.046017046,-0.001162701,0.003505998,0.009751573,0.015213268,0.009046972,0.013484701,0.021625276,-0.002637428,-0.022810613
20100212,-0.041334966,0.001609177,0.00431269,0.01197771,0.01251414,0.005380521,0.012414533,0.019428411,-0.002251092,-0.024051123
20100222,-0.043174066,0.003564804,0.005345766,0.014040838,0.013189057,0.006471523,0.013116707,0.018875906,-0.002174024,-0.029256512
20100223,-0.040376234,0.005627466,0.005315813,0.013160856,0.012941515,0.006839277,0.013004907,0.017733412,-0.004608912,-0.029638099
20100224,-0.042148679,0.005111588,0.005504345,0.011459541,0.010963262,0.005214002,0.014219101,0.01958953,-0.003518438,-0.026394252
20100225,-0.043179934,0.004332692,0.007830441,0.011377575,0.012777573,0.004412099,0.015250693,0.018998248,-0.004819838,-0.026979549
20100226,-0.046562854,0.005820619,0.007011342,0.011317289,0.012268943,0.003773879,0.015697765,0.019269882,-0.001410833,-0.027186032
20100301,-0.051205021,0.006918624,0.006091368,0.010208398,0.010146857,0.00726546,0.016687617,0.023682269,-0.002624899,-0.027170673
20100302,-0.053612643,0.007467285,0.006639078,0.010997699,0.010621141,0.008965335,0.015333642,0.023042079,-0.001187972,-0.028265645
